label,channel,start_s,best_step,SNR_raw_dB,SNR_dip_dB,Delta_SNR_dB,EEG_total_0p5_500_raw,EEG_total_0p5_500_dip,EEG_total_delta_pct,NonEEG_total_0p5_500_raw,EEG_0p5_40_raw,EEG_0p5_40_dip,EEG_0p5_40_delta_pct,EEG_80_250_raw,EEG_80_250_dip,HF1_suppress_pct,EEG_250_500_raw,EEG_250_500_dip,HF2_suppress_pct,HF_total_suppress_pct,selection,agg,snr_mode,model,is_artifact
W,T3,30.000000,950,-154.720684,-155.896876,-1.176192,2.779522e-08,2.120073e-08,-23.725250,8.242111e+07,1.355244e-08,2.130911e-08,57.234549,7.293761e-09,2.887032e-12,99.960418,2.326067e-09,2.144754e-13,99.990779,99.967759,snr,mean,raw,eegnet,0
N1,T3,60.000000,1050,-153.804531,-153.735031,0.069500,2.685040e-08,2.728354e-08,1.613180,6.447686e+07,2.565262e-08,2.728509e-08,6.363776,1.981389e-10,3.409001e-12,98.279498,1.204023e-10,2.513824e-13,99.791216,98.850895,snr,mean,raw,eegnet,0
N2,T3,360.000000,2000,-148.749649,-150.082793,-1.333144,8.606958e-08,6.331918e-08,-26.432566,6.453786e+07,8.526155e-08,6.345692e-08,-25.573805,1.098019e-10,5.474993e-12,95.013799,9.160442e-11,4.015574e-13,99.561645,97.082256,snr,mean,raw,eegnet,0
N3,T3,1.140000e+03,1900,-145.932140,-147.548910,-1.616770,1.359823e-07,9.371422e-08,-31.083538,5.329623e+07,1.352370e-07,9.388075e-08,-30.580599,1.278238e-10,7.391204e-12,94.217708,1.025853e-10,6.292545e-13,99.386610,96.519051,snr,mean,raw,eegnet,0
R,T3,6.840000e+03,1000,-154.372864,-154.932797,-0.559933,2.273278e-08,1.998293e-08,-12.096402,6.222129e+07,2.214610e-08,2.010528e-08,-9.215243,5.043820e-11,2.254394e-12,95.530473,7.660348e-11,1.811080e-13,99.763580,98.082926,snr,mean,raw,eegnet,0
L,T3,2.856000e+04,1400,-164.865994,-164.704508,0.161486,7.284473e-09,7.560434e-09,3.788338,2.233560e+08,5.148026e-09,7.593088e-09,47.495130,8.707579e-10,1.281116e-12,99.852874,2.712510e-10,9.514454e-14,99.964924,99.879488,snr,mean,raw,eegnet,0
W,T3,0.000000,1400,-155.227725,-153.553169,1.674556,1.827271e-08,2.686943e-08,47.046792,6.089413e+07,1.717964e-08,2.696276e-08,56.946037,2.220598e-10,3.468294e-12,98.438133,1.239270e-10,2.717808e-13,99.780695,98.919016,snr,mean,raw,eegnet,1
W,T3,30.000000,600,-154.720684,-155.789523,-1.068838,2.779522e-08,2.173132e-08,-21.816312,8.242111e+07,1.355244e-08,2.173412e-08,60.370546,7.293761e-09,3.133941e-12,99.957033,2.326067e-09,2.250796e-13,99.990324,99.965082,mse,mean,raw,eegnet,0
N1,T3,60.000000,600,-153.804531,-154.265954,-0.461422,2.685040e-08,2.414396e-08,-10.079692,6.447686e+07,2.565262e-08,2.414323e-08,-5.883971,1.981389e-10,2.992240e-12,98.489835,1.204023e-10,2.340925e-13,99.805576,98.987157,mse,mean,raw,eegnet,0
N2,T3,360.000000,600,-148.749649,-152.505319,-3.755669,8.606958e-08,3.624789e-08,-57.885363,6.453786e+07,8.526155e-08,3.634640e-08,-57.370701,1.098019e-10,3.205133e-12,97.081013,9.160442e-11,2.431547e-13,99.734563,98.287904,mse,mean,raw,eegnet,0
N3,T3,1.140000e+03,600,-145.932140,-149.421524,-3.489384,1.359823e-07,6.088974e-08,-55.222321,5.329623e+07,1.352370e-07,6.094130e-08,-54.937417,1.278238e-10,4.661968e-12,96.352845,1.025853e-10,3.482133e-13,99.660566,97.825538,mse,mean,raw,eegnet,0
R,T3,6.840000e+03,600,-154.372864,-156.287383,-1.914520,2.273278e-08,1.462853e-08,-35.650077,6.222129e+07,2.214610e-08,1.468505e-08,-33.690113,5.043820e-11,2.092697e-12,95.851050,7.660348e-11,1.763869e-13,99.769743,98.213920,mse,mean,raw,eegnet,0
L,T3,2.856000e+04,600,-164.865994,-165.687627,-0.821633,7.284473e-09,6.028855e-09,-17.236910,2.233560e+08,5.148026e-09,6.047012e-09,17.462716,8.707579e-10,9.117150e-13,99.895297,2.712510e-10,7.012666e-14,99.974147,99.914025,mse,mean,raw,eegnet,0
W,T3,0.000000,600,-155.227725,-156.002867,-0.775142,1.827271e-08,1.528582e-08,-16.346182,6.089413e+07,1.717964e-08,1.528523e-08,-11.027030,2.220598e-10,2.134839e-12,99.038624,1.239270e-10,1.584754e-13,99.872123,99.337169,mse,mean,raw,eegnet,1
W,T3,30.000000,1050,-154.720684,-155.707125,-0.986441,2.779522e-08,2.214756e-08,-20.318791,8.242111e+07,1.355244e-08,2.219523e-08,63.772997,7.293761e-09,3.175674e-12,99.956460,2.326067e-09,2.244661e-13,99.990350,99.964655,snr,mean,raw,eegnet,0
N1,T3,60.000000,1350,-153.804531,-153.491524,0.313008,2.685040e-08,2.885702e-08,7.473349,6.447686e+07,2.565262e-08,2.882809e-08,12.378739,1.981389e-10,3.381561e-12,98.293347,1.204023e-10,2.464971e-13,99.795274,98.861043,snr,mean,raw,eegnet,0
N2,T3,360.000000,2350,-148.749649,-150.235322,-1.485673,8.606958e-08,6.113394e-08,-28.971487,6.453786e+07,8.526155e-08,6.117014e-08,-28.255888,1.098019e-10,4.861490e-12,95.572531,9.160442e-11,3.652336e-13,99.601297,97.404899,snr,mean,raw,eegnet,0
N3,T3,1.140000e+03,1350,-145.932140,-147.582648,-1.650509,1.359823e-07,9.298902e-08,-31.616845,5.329623e+07,1.352370e-07,9.362046e-08,-30.773067,1.278238e-10,6.902532e-12,94.600006,1.025853e-10,5.106494e-13,99.502225,96.782615,snr,mean,raw,eegnet,0
R,T3,6.840000e+03,2350,-154.372864,-154.680009,-0.307146,2.273278e-08,2.118059e-08,-6.828001,6.222129e+07,2.214610e-08,2.121832e-08,-4.189345,5.043820e-11,2.199042e-12,95.640212,7.660348e-11,1.802388e-13,99.764715,98.127180,snr,mean,raw,eegnet,0
L,T3,2.856000e+04,800,-164.865994,-164.532590,0.333404,7.284473e-09,7.865721e-09,7.979268,2.233560e+08,5.148026e-09,7.910248e-09,53.655936,8.707579e-10,1.132655e-12,99.869923,2.712510e-10,9.288969e-14,99.965755,99.892685,snr,mean,raw,eegnet,0
W,T3,0.000000,2400,-155.227725,-153.274908,1.952816,1.827271e-08,2.864736e-08,56.776740,6.089413e+07,1.717964e-08,2.874679e-08,67.330569,2.220598e-10,3.609996e-12,98.374321,1.239270e-10,2.698616e-13,99.782243,98.878614,snr,mean,raw,eegnet,1
W,T3,30.000000,1550,-142.116915,-142.485763,-0.368848,2.779522e-08,2.553202e-08,-8.142378,4.525447e+06,1.355244e-08,2.549757e-08,88.140099,7.293761e-09,3.399658e-12,99.953390,2.326067e-09,2.721659e-13,99.988299,99.961831,snr,median,raw,eegnet,0
N1,T3,60.000000,1250,-142.008639,-141.286060,0.722579,2.685040e-08,3.171090e-08,18.102182,4.263975e+06,2.565262e-08,3.183094e-08,24.084583,1.981389e-10,4.132938e-12,97.914131,1.204023e-10,3.254109e-13,99.729733,98.600390,snr,median,raw,eegnet,0
